model,mae,rmse,r2,mape
Decision Tree,5483.572053160513,11013.534335878001,0.9734651897156935,0.115775727259328
KNN Regressor,18580.16251188636,30906.340574189384,0.7910426082064959,0.9727210294148037
Dummy baseline,44845.666666666664,78547.01291273157,-0.34965234705919457,0.7005702515263919
